site_id	fold	x	y
BURIAL_NW_1	2	314000.0	541000.0
BURIAL_NW_2	2	309000.0	530000.0
BURIAL_NW_3	4	339000.0	555000.0
BURIAL_NW_4	4	350000.0	549000.0
BURIAL_NW_5	4	343000.0	540000.0
BURIAL_NW_6	4	351000.0	530000.0
BURIAL_NW_7	2	308000.0	527000.0
BURIAL_NW_8	1	353000.0	446000.0
BURIAL_NW_9	1	344000.0	441000.0
BURIAL_NW_10	1	346000.0	461000.0
BURIAL_NW_11	1	324000.0	466000.0
BURIAL_NW_12	4	370000.0	515000.0
BURIAL_YKS_1	3	423000.0	488000.0
BURIAL_YKS_2	5	457000.0	404000.0
BURIAL_YKS_3	3	417000.0	454000.0
BURIAL_YKS_4	3	431000.0	471000.0
BURIAL_YKS_5	5	459000.0	451000.0
BURIAL_YKS_6	3	429000.0	485000.0
BURIAL_YKS_7	3	400000.0	489000.0
BURIAL_YKS_8	5	461000.0	509000.0
HER_1011	2	299000.0	528000.0
ADS_COTTAM2-395163	5	508000.0	460000.0
HER_MYD3669	3	376000.0	479000.0
SITE_CRUMMACK_DALE_NUCLEATIONS_SITES_1_3_YORK_3F3B8C	3	377000.0	472000.0
SITE_TOP_COW_PASTURE_SELSIDE_NORTH_YORKSHIRE_E56C6E	3	378000.0	476000.0
